ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,react hooks tutorial crash course styled components jsx react router hoc,2019-07-17,49901,1095,37
freecodecamp org,build better discoverable apis graphql,2018-09-25,4428,98,3
freecodecamp org,coding swedish startup day life amber wilkie,2018-04-11,18449,483,24
freecodecamp org,live search react wordpress api part p live coding jesse,2018-03-01,1531,29,0
freecodecamp org,fixing mobile layout issues p live coding jesse,2018-01-25,1722,27,1
freecodecamp org,live workshop basics javascript es syntax,2017-10-10,11644,304,19
freecodecamp org,jquery get set http text val attr beau teaches javascript,2017-07-24,22599,336,12
freecodecamp org,basejump build pinterest clone,2015-07-17,14629,0,2
alex analyst,tech layoffs hiring freezes great resignation alex analyst show episode,2022-07-19,21993,616,123
blue brown,lie using visual proofs,2022-07-03,3299702,116602,4274
freecodecamp org,build shopping cart javascript project tutorial,2022-05-31,381679,8656,383
freecodecamp org,android programming course kotlin jetpack compose ui graph data structures algorithms,2021-08-25,256641,5861,87
freecodecamp org,use php create mvc framework full course,2020-10-22,257976,6590,343
freecodecamp org,react native web full app tutorial build workout app ios android web,2019-03-13,303356,3934,113
freecodecamp org,intro data science crash course beginners,2019-03-04,446283,9082,153
freecodecamp org,web programming flask intro computer science harvard cs,2019-01-29,315041,6993,156
freecodecamp org,get productive python visual studio code,2018-09-26,41700,793,25
freecodecamp org,mongodb full tutorial w node js express mongoose,2018-09-13,159015,1939,64
freecodecamp org,introduction javascript,2018-05-07,116206,1794,80
freecodecamp org,scrum minutes,2018-02-12,112565,2295,80
freecodecamp org,jquery vs vanilla javascript beau teaches javascript,2017-08-21,54976,1200,43
alex analyst,landing data job course analyst builder,2024-09-03,21448,784,90
blue brown,integration fundamental theorem calculus chapter essence calculus,2017-05-05,2337793,52822,1432
freecodecamp org,plan code deploy startup hours full stack javascript tutorial,2019-11-26,180144,4984,138
freecodecamp org,learn flask python full tutorial,2019-05-28,1839840,28573,1410
freecodecamp org,code like pro dylan israel,2019-03-07,141413,3244,94
freecodecamp org,computers internet work computer science basics,2018-09-19,107401,2527,81
freecodecamp org,react deployment p live coding jesse,2018-05-03,1876,29,0
alex analyst,recruiters dataanalysis data,2023-08-03,16173,1118,24
alex analyst,data cleaning pandas python pandas tutorials,2023-05-23,302916,7626,391
alex analyst,data analyst portfolio project tableau visualization project,2021-05-18,377900,5992,452
alex analyst,r vs python better data analysis,2021-02-16,227489,5063,408
blue brown,wallis product pi proved geometrically,2018-04-20,821883,21500,1048
freecodecamp org,mysql course beginners,2023-10-25,73815,2577,86
freecodecamp org,learn terraform google cloud platform infrastructure code course,2023-07-11,64060,1383,46
freecodecamp org,web workers service workers pwas,2018-09-18,17121,371,3
freecodecamp org,future serverless means node js,2018-06-20,10198,171,10
freecodecamp org,creating footer materialui p live coding jesse,2017-11-15,10897,66,5
freecodecamp org,react building new ui live coding jesse,2017-07-07,4818,80,4
blue brown,error correction incredible,2023-12-10,3562460,194606,667
blue brown,winding numbers domain coloring,2018-03-24,939599,27588,1482
freecodecamp org,react testing course beginners code test apps,2022-05-23,123641,3228,118
freecodecamp org,git branches tutorial,2021-07-13,247451,6583,124
freecodecamp org,unity game dev full tutorial infinite runner,2018-12-11,48497,751,25
freecodecamp org,character codes explained byjavascript legend douglas crockford,2018-05-23,3536,74,1
freecodecamp org,upgrading nextjs version p live coding jesse,2018-02-06,1498,28,0
freecodecamp org,rust project tutorial authentication server using warp jwt,2023-09-22,38427,830,31
freecodecamp org,day life freecodecamp u staff rare person meeting,2023-03-07,321399,16031,295
freecodecamp org,vim tutorial beginners,2022-03-09,734243,17943,494
freecodecamp org,tkinter calculator python basics sam,2020-10-20,30624,896,28
freecodecamp org,build discord bot full javascript chatbot tutorial,2018-11-14,117839,2466,282
freecodecamp org,modal window css tutorial day css days,2018-09-26,14989,382,10
freecodecamp org,alexa coding quiz javascript css computer science,2018-09-13,4840,158,15
