ChannelTitle,Title,Published_date,Views,Likes,Comments
blue brown,convolutions x probability beautiful mess,2023-06-27,681915,23760,782
alex analyst,inspecting web pages html web scraping python,2023-06-20,62592,1590,35
freecodecamp org,cafe menu html css,2024-07-06,20937,979,10
freecodecamp org,trie data structure beau teaches javascript,2017-05-06,37155,504,38
freecodecamp org,map data structure es map object beau teaches javascript,2017-04-09,41260,528,19
blue brown,trigonometry fundamentals ep lockdown live math,2020-04-21,1752959,35173,1377
blue brown,music measure theory,2015-10-04,1527302,41214,1495
alex analyst,data analyst q livestream september livestream ask anything,2023-09-28,8956,286,21
alex analyst,advanced sql tutorial temp tables,2021-02-02,254572,5636,141
freecodecamp org,freecodecamp org curriculum expansion math machine learning data science,2021-02-02,87624,3462,197
freecodecamp org,unit testing vue js gwen faraday,2020-08-21,43785,834,24
freecodecamp org,angry birds coding tutorial cs intro game development,2019-02-06,36175,522,23
freecodecamp org,day life freelance web developer dad w freelancing tips,2018-06-12,25761,889,77
freecodecamp org,html css tutorial build beautiful blog,2018-05-01,189558,2988,83
freecodecamp org,react material design tabs p live coding jesse,2017-09-29,5294,53,6
freecodecamp org,adding material design side nav net p live coding jesse,2017-09-14,1903,28,0
freecodecamp org,jquery ajax beau teaches javascript,2017-08-15,18620,304,2
freecodecamp org,react project day live coding jesse,2017-07-31,2752,35,1
blue brown,seeing sound,2023-12-08,778342,49985,426
alex analyst,blob storage storage accounts azure azure fundamentals,2024-07-23,3355,88,10
alex analyst,top common excel functions excel,2024-06-11,7015,336,8
alex analyst,year end review upcoming giveaway details,2020-12-31,1573,140,101
freecodecamp org,pytest tutorial test python code,2023-10-23,195597,4054,107
freecodecamp org,postgresql tutorial beginners,2023-10-13,247647,4878,247
freecodecamp org,full stack development java spring boot react mongodb full course,2023-01-19,992393,22430,1526
freecodecamp org,next js react framework course build deploy full stack app scratch,2022-12-12,584560,11479,372
freecodecamp org,build hackintosh step step guide install macos big sur pc,2021-06-03,387992,7422,535
freecodecamp org,build first rails app blog comments tutorial,2018-06-26,101323,1167,61
freecodecamp org,microservices,2018-05-15,292201,7226,108
freecodecamp org,css flexbox course,2018-03-23,329323,8300,307
freecodecamp org,write technical blog posts talk freecodecamp creator quincy larson,2018-02-16,8579,396,6
freecodecamp org,cookies vs localstorage vs sessionstorage beau teaches javascript,2017-05-16,175038,4011,98
freecodecamp org,flexbox code vlog,2017-01-09,2630,64,6
blue brown,abstract vector spaces chapter essence linear algebra,2016-09-24,1421572,50422,3004
alex analyst,data analyst career path become data analyst next,2020-08-20,130831,4665,271
freecodecamp org,introduction front end testing,2018-11-01,30864,545,17
freecodecamp org,modal window css tutorial day css days,2018-09-26,14981,383,10
freecodecamp org,full stack python flask tutorial build social network,2018-08-28,150501,3036,147
freecodecamp org,code asteroids javascript atari game tutorial,2018-06-22,91049,1922,103
freecodecamp org,eslint quickstart find errors automatically,2018-04-17,143471,2578,92
freecodecamp org,ajax beau teaches javascript,2017-02-13,38390,683,24
freecodecamp org,chrome dev tools console tab,2015-08-24,13616,110,3
blue brown,oh wait actually best wordle opener crane,2022-02-13,6188597,151968,7100
blue brown,inverse matrices column space null space chapter essence linear algebra,2016-08-15,2880610,59473,2021
alex analyst,k livestream announcing giveaway winners trimming mustache answering questions,2021-08-13,4744,191,26
alex analyst,changed careers become data analyst alex analyst show episode,2020-09-10,416487,12165,3824
freecodecamp org,spring boot spring security jwt course shopping cart backend java project,2024-08-28,74434,2979,98
freecodecamp org,convert strings numbers javascript,2024-07-03,13845,661,9
freecodecamp org,create store wordpress ai tutorial real ai generated products,2023-11-07,50773,1531,53
freecodecamp org,front end developer roadmap,2023-10-19,832310,24549,598
freecodecamp org,advanced c programming course,2023-06-27,624539,15049,293
freecodecamp org,learn vite frontend build tool course,2023-03-23,192362,3843,168
freecodecamp org,full gitpod course exampro cloud developer environment certification,2022-04-04,55037,1149,53
freecodecamp org,webhooks beginners full course,2020-12-17,221011,5589,195
freecodecamp org,elasticsearch tutorial beginners,2018-09-05,299146,1831,61
freecodecamp org,react component dev graphql data part p live coding jesse,2018-07-12,1126,22,0
freecodecamp org,learn html full course code samples,2018-04-05,422197,6636,257
